generation,1_found_failures,1_mean_tcp_score,1_mean_failure_rate,1_qd_tcp_score,1_qd_failure_rate,1_added_to_archive,1_replaced_elite,1_num_valid_test_cases,1_num_sim_steps,1_not_confirmed_solvable
330,153,1.0,-1,2287.0,-1,0,2,2287,918,4
331,168,1.0,-1,2288.0,-1,0,1,2288,810,0
332,157,1.0,-1,2291.0,-1,1,2,2291,920,4
333,170,1.0,-1,2291.0,-1,1,0,2291,835,2
334,145,1.0,-1,2291.0,-1,0,0,2291,982,5
335,158,1.0,-1,2292.0,-1,0,1,2292,868,3
336,162,1.0,-1,2296.0,-1,0,4,2296,871,4
337,159,1.0,-1,2296.0,-1,0,0,2296,908,2
338,167,1.0,-1,2299.0,-1,0,3,2299,840,1
339,151,1.0,-1,2300.0,-1,1,0,2300,943,4
340,150,1.0,0.5231856,2301.0,1203.8501,0,1,2301,983,5
341,162,1.0,-1,2302.0,-1,1,0,2302,872,3
342,163,1.0,-1,2303.0,-1,0,1,2303,841,3
343,168,1.0,-1,2303.0,-1,0,0,2303,833,2
344,161,1.0,-1,2305.0,-1,2,0,2305,863,4
345,159,1.0,-1,2307.0,-1,0,2,2307,968,1
346,147,1.0,-1,2307.0,-1,0,0,2307,1018,3
347,162,1.0,-1,2308.0,-1,0,1,2308,870,3
348,165,1.0,-1,2311.0,-1,1,3,2311,837,3
349,166,1.0,-1,2311.0,-1,0,0,2311,877,0
350,157,1.0,-1,2312.0,-1,1,0,2312,916,2
351,163,1.0,-1,2312.0,-1,0,0,2312,852,4
352,160,1.0,-1,2312.0,-1,1,0,2312,906,4
353,160,1.0,-1,2312.0,-1,1,0,2312,920,2
354,154,1.0,-1,2313.0,-1,0,1,2313,942,2
355,155,1.0,-1,2313.0,-1,0,0,2313,942,4
356,161,1.0,-1,2313.0,-1,0,0,2313,855,3
357,157,1.0,-1,2314.0,-1,0,1,2314,893,2
358,166,1.0,-1,2315.0,-1,3,1,2315,791,5
359,163,1.0,-1,2315.0,-1,0,0,2315,856,1
360,158,1.0,0.52190334,2317.0,1209.25,1,2,2317,910,1
361,160,1.0,-1,2317.0,-1,0,0,2317,914,2
362,158,1.0,-1,2319.0,-1,0,2,2319,902,3
363,152,1.0,-1,2321.0,-1,0,2,2321,930,5
364,164,1.0,-1,2322.0,-1,0,1,2322,819,2
365,164,1.0,-1,2322.0,-1,0,0,2322,865,0
366,168,1.0,-1,2324.0,-1,2,1,2324,846,1
367,156,1.0,-1,2325.0,-1,0,1,2325,881,6
368,159,1.0,-1,2325.0,-1,0,0,2325,891,3
369,153,1.0,-1,2326.0,-1,0,1,2326,929,5
370,154,1.0,-1,2328.0,-1,1,1,2328,902,4
371,162,1.0,-1,2329.0,-1,0,1,2329,913,3
372,152,1.0,-1,2331.0,-1,0,2,2331,957,3
373,156,1.0,-1,2332.0,-1,0,1,2332,947,1
374,158,1.0,-1,2333.0,-1,2,1,2333,885,3
375,148,1.0,-1,2333.0,-1,1,0,2333,959,5
376,167,1.0,-1,2334.0,-1,0,1,2334,856,0
377,159,1.0,-1,2335.0,-1,1,0,2335,892,5
378,168,1.0,-1,2335.0,-1,1,0,2335,780,3
379,163,1.0,-1,2335.0,-1,0,0,2335,881,4
380,169,1.0,0.5215203,2335.0,1217.75,1,0,2335,838,3
381,158,1.0,-1,2336.0,-1,1,0,2336,919,1
382,162,1.0,-1,2337.0,-1,0,1,2337,841,4
383,171,1.0,-1,2337.0,-1,0,0,2337,831,1
384,165,1.0,-1,2338.0,-1,0,1,2338,825,2
385,162,1.0,-1,2339.0,-1,0,1,2339,822,5
386,146,1.0,-1,2340.0,-1,0,1,2340,1003,2
387,157,0.99999994,-1,2341.0,-1,0,1,2341,924,2
388,162,0.99999994,-1,2342.0,-1,0,1,2342,825,2
389,164,0.99999994,-1,2342.0,-1,0,0,2342,838,4
390,153,0.99999994,-1,2342.0,-1,0,0,2342,917,5
391,160,0.99999994,-1,2344.0,-1,1,1,2344,904,0
392,159,0.99999994,-1,2344.0,-1,0,0,2344,829,4
393,168,0.99999994,-1,2344.0,-1,0,0,2344,821,2
394,161,0.99999994,-1,2345.0,-1,0,1,2345,865,0
395,152,1.0,-1,2346.0,-1,0,1,2346,978,3
396,155,1.0,-1,2346.0,-1,0,0,2346,961,2
397,154,1.0,-1,2346.0,-1,0,0,2346,981,2
398,159,1.0,-1,2348.0,-1,1,1,2348,894,0
399,159,1.0,-1,2349.0,-1,0,1,2349,875,5
400,167,1.0,0.5210213,2350.0,1224.4,0,1,2350,869,1
401,148,1.0,-1,2350.0,-1,0,0,2350,1011,4
402,166,1.0,-1,2351.0,-1,0,1,2351,845,3
403,153,1.0,-1,2351.0,-1,0,0,2351,925,4
404,157,1.0,-1,2352.0,-1,0,1,2352,884,7
405,157,1.0,-1,2353.0,-1,0,1,2353,917,4
406,159,1.0,-1,2353.0,-1,0,0,2353,847,3
407,157,0.99999994,-1,2354.0,-1,0,1,2354,926,4
408,149,0.99999994,-1,2354.0,-1,0,0,2354,939,8
409,165,0.99999994,-1,2355.0,-1,0,1,2355,791,5
