generation,single-policy_found_failures,single-policy_mean_tcp_score,single-policy_mean_failure_rate,single-policy_qd_tcp_score,single-policy_qd_failure_rate,single-policy_added_to_archive,single-policy_replaced_elite,single-policy_num_valid_test_cases,single-policy_num_sim_steps,single-policy_not_confirmed_solvable,multi-policy_found_failures,multi-policy_mean_tcp_score,multi-policy_mean_failure_rate,multi-policy_qd_tcp_score,multi-policy_qd_failure_rate,multi-policy_added_to_archive,multi-policy_replaced_elite,multi-policy_num_valid_test_cases,multi-policy_num_sim_steps,multi-policy_not_confirmed_solvable
494,141,1.0,-1,2442.0,-1,0,0,2442,841,21,172,0.92072153,-1,2297.2002,-1,0,3,2495,13318,21
495,137,1.0,-1,2442.0,-1,0,0,2442,787,22,171,0.92072153,-1,2297.2002,-1,0,0,2495,12920,22
496,139,0.99999994,-1,2443.0,-1,0,1,2443,842,21,171,0.9209086,-1,2297.667,-1,0,4,2495,13518,21
497,132,0.99999994,-1,2443.0,-1,0,0,2443,912,19,169,0.9209886,-1,2297.8667,-1,0,1,2495,14235,19
498,134,0.99999994,-1,2443.0,-1,0,0,2443,879,23,172,0.9213093,-1,2298.6667,-1,0,2,2495,13485,23
499,149,1.0,-1,2444.0,-1,0,1,2444,662,24,171,0.92144287,-1,2299.0,-1,0,1,2495,12111,24
500,141,1.0,0.72962356,2444.0,1783.2,0,0,2444,869,17,176,0.9215498,0.8851903,2299.2668,2208.5498,0,2,2495,13607,17
501,144,1.0,-1,2444.0,-1,0,0,2444,743,19,172,0.92160326,-1,2299.4001,-1,0,1,2495,12870,19
502,143,1.0,-1,2444.0,-1,0,0,2444,777,19,175,0.92160326,-1,2299.4001,-1,0,0,2495,12210,19
503,132,1.0,-1,2446.0,-1,0,2,2446,743,31,164,0.92179024,-1,2299.8667,-1,0,4,2495,12018,31
504,141,1.0,-1,2447.0,-1,0,1,2447,785,15,176,0.9218971,-1,2300.1333,-1,0,1,2495,12912,15
505,121,1.0,-1,2448.0,-1,1,0,2448,913,27,164,0.9219285,-1,2301.1335,-1,1,1,2496,13062,27
506,132,1.0,-1,2448.0,-1,0,0,2448,815,22,172,0.92203534,-1,2301.4001,-1,0,2,2496,12805,22
507,135,1.0,-1,2449.0,-1,0,1,2449,856,22,173,0.92214215,-1,2301.6667,-1,0,2,2496,13203,22
